episode,reward,length,x_pos,epsilon,loss,flag_reached,time
1,-535.20,1438,898,0.9859,0.019707,0,12.5
2,-34.90,38,303,0.9855,0.013724,0,12.9
3,-82.40,365,1133,0.9820,0.060624,0,16.0
4,-526.70,1472,1122,0.9675,0.059420,0,28.6
5,-46.40,168,708,0.9659,0.085818,0,30.1
6,-762.10,2005,899,0.9462,0.070371,0,47.2
7,-310.50,933,1127,0.9371,0.046004,0,55.1
8,-29.50,119,681,0.9359,0.098218,0,56.1
9,-388.80,1001,864,0.9261,0.066096,0,64.8
10,-255.10,721,833,0.9191,0.062689,0,71.1
11,-69.70,230,722,0.9168,0.053637,0,73.2
12,-23.70,105,681,0.9158,0.139541,0,74.1
13,-29.00,119,684,0.9146,0.075868,0,75.2
14,-38.30,50,315,0.9141,0.047204,0,75.6
15,-49.40,203,816,0.9121,0.036534,0,77.4
16,-24.10,109,693,0.9111,0.106358,0,78.3
17,-274.20,914,1412,0.9021,0.097471,0,86.7
18,-41.30,333,1417,0.8988,0.076409,0,89.7
19,-32.50,35,313,0.8985,0.150047,0,90.0
20,-33.80,37,310,0.8981,0.234059,0,90.3
21,-77.60,294,899,0.8952,0.133089,0,92.9
22,-39.30,142,675,0.8939,0.088392,0,94.1
23,-284.90,936,1393,0.8847,0.099503,0,102.6
24,-186.70,626,1137,0.8785,0.135304,0,108.7
25,-26.00,115,700,0.8774,0.139572,0,109.7
26,-559.40,1555,1123,0.8622,0.120109,0,125.3
27,-40.50,46,277,0.8617,0.108329,0,125.8
28,-39.90,47,289,0.8613,0.056072,0,126.2
29,-47.10,65,289,0.8606,0.064358,0,126.9
30,-43.60,151,668,0.8592,0.135636,0,128.3
31,-115.40,388,898,0.8554,0.112039,0,132.1
32,-41.70,50,283,0.8549,0.139721,0,132.6
33,-763.80,2005,899,0.8352,0.096055,0,152.7
34,-43.60,159,700,0.8337,0.065739,0,154.3
35,-40.40,48,288,0.8332,0.055579,0,154.7
36,-33.60,36,306,0.8328,0.097136,0,155.1
37,-20.00,98,690,0.8319,0.120642,0,156.1
38,-122.50,404,899,0.8279,0.114964,0,160.3
39,-37.30,42,295,0.8275,0.184332,0,160.7
40,-37.50,43,295,0.8271,0.133952,0,161.2
41,-43.50,59,299,0.8265,0.091032,0,161.8
42,-35.80,39,298,0.8261,0.114456,0,162.2
43,-103.70,419,1137,0.8220,0.146878,0,166.5
44,-200.90,661,1134,0.8155,0.131672,0,173.1
45,-55.60,188,694,0.8137,0.143785,0,175.0
46,-39.20,154,723,0.8122,0.135374,0,176.5
47,-26.10,111,681,0.8111,0.124638,0,177.6
48,-141.90,583,1411,0.8054,0.137848,0,183.5
49,-94.10,561,1801,0.7999,0.145685,0,189.4
50,-565.40,1642,1414,0.7838,0.126458,0,206.3
51,-332.40,986,1122,0.7741,0.111111,0,216.4
52,-42.70,52,281,0.7736,0.189114,0,216.9
53,-233.00,739,1124,0.7664,0.096253,0,224.4
54,-39.10,48,299,0.7659,0.196724,0,224.9
55,-25.90,147,827,0.7645,0.107711,0,226.4
56,-34.90,131,673,0.7632,0.118506,0,227.7
57,-36.30,44,311,0.7628,0.190220,0,228.1
58,-176.90,517,799,0.7577,0.127147,0,233.5
59,-57.10,242,898,0.7553,0.117749,0,236.0
60,-38.10,46,301,0.7549,0.085333,0,236.5
61,-32.30,32,305,0.7545,0.109253,0,236.8
62,-330.90,1061,1434,0.7442,0.117594,0,247.4
63,-215.40,638,898,0.7379,0.148628,0,254.0
64,-36.90,45,311,0.7375,0.046235,0,254.5
65,-37.10,133,661,0.7362,0.100042,0,255.8
66,-45.90,159,677,0.7346,0.173303,0,257.4
67,-153.30,465,827,0.7300,0.124697,0,262.1
68,-123.50,387,813,0.7262,0.130389,0,266.2
69,-46.80,173,723,0.7246,0.120300,0,268.0
70,-50.40,171,678,0.7229,0.108886,0,269.5
71,-72.90,238,723,0.7205,0.117017,0,271.7
72,-577.90,1525,819,0.7056,0.115009,0,287.4
73,-92.20,330,898,0.7024,0.164151,0,290.8
74,-37.00,148,723,0.7009,0.124846,0,292.4
75,-193.30,641,1130,0.6946,0.120936,0,299.0
76,-44.50,152,663,0.6931,0.121951,0,300.6
77,-33.70,134,699,0.6918,0.078779,0,302.0
78,-155.90,570,1226,0.6862,0.150897,0,307.8
79,-15.40,91,708,0.6854,0.114073,0,308.8
80,-38.60,44,290,0.6849,0.139690,0,309.2
81,-45.10,55,267,0.6844,0.129007,0,309.8
82,-37.60,142,690,0.6830,0.112836,0,311.2
83,-33.90,37,309,0.6826,0.116530,0,311.6
84,-40.00,51,304,0.6821,0.163409,0,312.1
85,-106.60,494,1410,0.6773,0.132420,0,317.2
86,-146.50,457,863,0.6728,0.153116,0,321.8
87,-15.20,90,706,0.6719,0.096594,0,322.8
88,-261.30,885,1425,0.6633,0.142772,0,331.7
89,-37.40,136,668,0.6619,0.070545,0,333.1
90,-39.50,193,877,0.6600,0.179133,0,335.1
91,-65.20,219,722,0.6579,0.164146,0,337.3
92,-20.20,133,828,0.6566,0.277925,0,338.6
93,-16.40,93,708,0.6557,0.163780,0,339.5
94,-143.30,536,1213,0.6504,0.115364,0,344.6
95,-37.80,326,1424,0.6472,0.131543,0,347.8
96,-272.30,911,1421,0.6383,0.160890,0,356.9
97,-292.00,888,1131,0.6296,0.128693,0,365.8
98,-80.90,450,1491,0.6252,0.144298,0,370.4
99,-46.70,216,899,0.6231,0.081032,0,372.7
100,-16.30,92,705,0.6222,0.129931,0,373.7
101,-184.90,689,1404,0.6154,0.180370,0,380.5
102,-44.90,165,709,0.6138,0.141838,0,382.2
103,-24.80,106,674,0.6128,0.099194,0,383.3
104,-32.20,311,1422,0.6097,0.139836,0,386.3
105,-130.60,418,864,0.6056,0.166464,0,390.4
106,-20.70,102,699,0.6046,0.147339,0,391.4
107,-31.80,124,676,0.6034,0.201803,0,392.7
108,-18.60,99,708,0.6024,0.169428,0,393.6
109,-47.10,56,253,0.6019,0.130791,0,394.2
110,-38.80,45,292,0.6014,0.161298,0,394.6
111,-26.40,114,690,0.6003,0.172678,0,395.8
112,-37.60,43,294,0.5999,0.296442,0,396.2
113,-39.10,326,1413,0.5967,0.187957,0,399.6
114,-177.70,603,1133,0.5908,0.177842,0,405.6
115,-106.00,365,899,0.5872,0.187198,0,409.1
116,-196.00,590,898,0.5814,0.164777,0,415.0
117,-31.80,33,314,0.5811,0.283973,0,415.4
118,-285.10,871,1133,0.5726,0.149391,0,424.2
119,-24.70,106,675,0.5715,0.159067,0,425.2
120,-33.70,173,855,0.5698,0.157186,0,426.9
121,-17.20,97,714,0.5689,0.154682,0,427.8
122,-83.30,366,1129,0.5653,0.171201,0,431.6
123,-42.40,162,722,0.5637,0.150419,0,433.3
124,-40.40,48,286,0.5632,0.240553,0,433.7
125,-41.30,52,293,0.5627,0.098156,0,434.2
126,-44.20,166,723,0.5611,0.132901,0,435.9
127,-120.50,386,839,0.5573,0.162458,0,439.7
128,-16.00,121,822,0.5561,0.200518,0,440.9
129,-34.10,39,313,0.5558,0.151514,0,441.3
130,-37.10,43,301,0.5553,0.164829,0,441.7
131,-31.90,33,311,0.5550,0.280162,0,442.0
132,-56.20,217,804,0.5529,0.243859,0,444.1
133,-33.20,34,302,0.5526,0.111647,0,444.4
134,-31.40,170,864,0.5509,0.193572,0,446.1
135,-182.50,613,1125,0.5449,0.182355,0,452.2
136,-36.00,38,292,0.5445,0.045739,0,452.6
137,-87.50,469,1499,0.5399,0.161910,0,457.2
138,-21.70,347,1669,0.5365,0.162730,0,460.6
139,-50.40,226,898,0.5343,0.226251,0,462.9
140,-24.40,110,696,0.5332,0.257513,0,464.0
141,-57.40,243,898,0.5308,0.164863,0,466.5
142,-119.80,677,2008,0.5242,0.204924,0,472.8
143,-38.00,43,292,0.5238,0.123698,0,473.2
144,-36.80,42,298,0.5234,0.212456,0,473.5
145,-32.90,35,311,0.5230,0.342307,0,473.8
146,-27.70,108,655,0.5220,0.232753,0,474.8
147,-142.40,591,1439,0.5162,0.198007,0,480.5
148,-120.80,402,899,0.5122,0.187030,0,484.5
149,-30.10,127,707,0.5110,0.162140,0,485.7
150,-60.10,247,885,0.5086,0.273153,0,488.1
151,-38.80,197,899,0.5066,0.241367,0,490.1
152,-36.50,44,311,0.5062,0.429369,0,490.5
153,-32.60,35,312,0.5059,0.270407,0,490.9
154,-13.20,192,1136,0.5040,0.175621,0,492.8
155,-35.10,37,295,0.5036,0.325394,0,493.1
156,-37.10,41,293,0.5032,0.251245,0,493.5
157,-30.80,124,686,0.5020,0.215069,0,494.8
158,-29.30,232,1133,0.4997,0.185833,0,497.2
159,-15.20,81,672,0.4989,0.178395,0,498.1
160,-35.90,40,299,0.4985,0.118681,0,498.5
161,-92.20,330,900,0.4953,0.217200,0,501.8
162,-34.30,36,299,0.4950,0.294142,0,502.1
163,-43.20,193,840,0.4931,0.154710,0,504.1
164,-35.50,144,723,0.4917,0.233008,0,505.5
165,-40.00,153,722,0.4902,0.230120,0,507.0
166,-14.10,84,693,0.4893,0.187851,0,507.9
167,-50.20,283,1130,0.4866,0.229131,0,510.7
168,-32.40,126,680,0.4853,0.233256,0,512.0
169,-74.60,240,722,0.4830,0.182575,0,514.4
170,-37.10,44,303,0.4825,0.215266,0,514.9
171,-57.20,372,1413,0.4789,0.231968,0,518.5
172,-31.90,31,308,0.4786,0.182238,0,518.8
