episode,reward,length,x_pos,epsilon,loss,flag_reached,time
1,37.70,159,1513,0.0200,0.284333,0,3.0
2,-318.30,953,1129,0.0200,0.276242,0,19.6
3,-7.50,175,1123,0.0200,0.364716,0,22.7
4,-228.30,725,1114,0.0200,0.341147,0,35.4
5,-114.20,452,1166,0.0200,0.358210,0,43.4
6,-21.10,98,679,0.0200,0.433494,0,45.1
7,20.60,176,1408,0.0200,0.498767,0,48.1
8,-48.00,57,248,0.0200,0.452583,0,49.0
9,-5.40,192,1212,0.0200,0.447916,0,52.2
10,16.00,119,1135,0.0200,0.509103,0,54.1
11,-111.60,335,723,0.0200,0.514840,0,59.3
12,57.50,222,1961,0.0200,0.610619,0,62.9
13,-33.30,182,899,0.0200,0.551702,0,65.7
14,21.60,179,1431,0.0200,0.575493,0,68.5
15,37.20,139,1427,0.0200,0.552499,0,70.8
16,18.90,180,1409,0.0200,0.653397,0,73.9
17,35.80,227,1766,0.0200,0.594443,0,77.4
18,-62.40,237,899,0.0200,0.627591,0,81.2
19,8.40,357,2012,0.0200,0.708193,0,87.2
20,12.00,130,1140,0.0200,0.618552,0,89.3
21,49.70,167,1663,0.0200,0.748835,0,92.2
22,-95.80,339,899,0.0200,0.686071,0,97.9
23,-34.30,134,693,0.0200,0.659062,0,100.2
24,11.60,129,1131,0.0200,0.695416,0,102.3
25,-67.90,330,1139,0.0200,0.649990,0,107.8
26,37.30,138,1424,0.0200,0.714318,0,110.2
27,-10.00,116,862,0.0200,0.669655,0,112.0
28,-27.10,167,899,0.0200,0.762026,0,114.8
29,35.40,203,1666,0.0200,1.254081,0,118.3
30,-16.60,141,900,0.0200,1.340961,0,120.5
31,53.60,184,1772,0.0200,1.293399,0,123.4
32,-9.40,74,702,0.0200,1.299506,0,124.6
33,21.60,311,1958,0.0200,1.275798,0,130.0
34,-69.00,222,696,0.0200,1.100549,0,133.5
35,-6.50,65,693,0.0200,0.999807,0,134.5
36,69.30,187,1941,0.0200,1.103262,0,137.5
37,58.80,173,1778,0.0200,1.078282,0,140.5
38,56.90,181,1793,0.0200,1.018129,0,143.4
39,32.50,145,1403,0.0200,0.984889,0,145.8
40,7.40,476,2476,0.0200,1.046938,0,153.9
41,-38.20,151,722,0.0200,1.038506,0,156.4
42,5.90,211,1401,0.0200,0.984284,0,159.9
43,39.80,134,1433,0.0200,0.976319,0,162.2
44,6.90,139,1124,0.0200,0.879103,0,165.8
45,-35.60,180,862,0.0200,0.954852,0,168.8
46,-132.50,826,2477,0.0200,0.924808,0,184.3
47,57.90,216,1943,0.0200,0.870284,0,188.3
48,53.10,159,1667,0.0200,0.984097,0,190.9
49,51.40,252,2020,0.0200,0.839327,0,196.3
50,42.20,212,1768,0.0200,0.856268,0,199.8
51,16.50,188,1415,0.0200,0.847886,0,203.0
52,-5.80,171,1125,0.0200,0.904654,0,206.0
53,14.90,120,1127,0.0200,0.776435,0,208.1
54,13.30,130,1152,0.0200,0.907983,0,211.5
55,-8.10,103,831,0.0200,0.851262,0,213.1
56,16.80,279,1782,0.0200,0.874985,0,218.0
57,25.20,165,1409,0.0200,0.857142,0,220.9
58,52.20,228,1934,0.0200,0.874874,0,225.5
59,15.70,120,1137,0.0200,0.900776,0,227.5
60,53.20,192,1800,0.0200,0.913507,0,230.7
61,14.70,255,1665,0.0200,0.860370,0,235.1
62,49.60,167,1664,0.0200,0.888263,0,238.0
63,15.40,119,1127,0.0200,0.844781,0,240.9
64,-20.30,140,857,0.0200,0.881562,0,243.2
65,1.60,152,1122,0.0200,1.017082,0,245.7
66,-29.80,125,700,0.0200,0.812933,0,248.0
67,28.10,223,1673,0.0200,0.946735,0,251.7
68,-41.90,157,709,0.0200,0.886757,0,255.4
69,-10.30,125,898,0.0200,1.021051,0,257.6
70,39.20,195,1670,0.0200,0.903741,0,260.9
71,37.70,138,1427,0.0200,0.929053,0,263.1
72,57.80,223,1976,0.0200,0.922631,0,266.9
73,1.60,154,1129,0.0200,0.895844,0,270.5
74,46.80,143,1538,0.0200,0.841529,0,272.7
75,67.50,392,2743,0.0200,0.946835,0,279.4
76,46.90,138,1521,0.0200,0.942311,0,281.7
77,2.30,151,1126,0.0200,0.939734,0,284.6
78,16.10,116,1124,0.0200,1.011184,0,286.8
79,46.20,174,1658,0.0200,0.950171,0,289.8
80,50.70,166,1669,0.0200,1.023713,0,292.4
81,-15.90,605,2761,0.0200,1.557512,0,303.3
82,46.20,205,1782,0.0200,1.483582,0,306.9
83,-10.00,75,698,0.0200,1.423879,0,308.2
84,0.60,339,1988,0.0200,1.341967,0,315.0
85,-33.10,32,297,0.0200,1.450546,0,315.7
86,-8.00,68,692,0.0200,1.153982,0,316.9
87,28.60,157,1412,0.0200,1.321251,0,319.6
88,4.90,144,1125,0.0200,1.446886,0,322.1
89,-14.20,88,708,0.0200,1.435520,0,323.9
90,-47.30,276,1128,0.0200,1.359521,0,329.7
91,20.30,294,1992,0.0200,1.242544,0,335.0
92,49.20,228,1979,0.0200,1.172230,0,339.0
93,-123.30,800,2466,0.0200,1.133723,0,353.4
94,-55.00,219,826,0.0200,1.119583,0,357.1
95,31.30,155,1433,0.0200,1.135150,0,361.1
96,8.30,142,1150,0.0200,1.090424,0,363.4
97,63.90,220,2019,0.0200,0.999070,0,367.2
98,65.20,217,2018,0.0200,1.104784,0,371.1
99,59.80,173,1788,0.0200,1.076756,0,375.0
100,62.20,167,1788,0.0200,1.046360,0,378.1
101,51.70,195,1795,0.0200,1.015518,0,382.5
