episode,reward,length,x_pos,policy_loss,value_loss,entropy,flag_reached,time
1,-13.10,78,679,0,0,0,0,0.8
2,-38.30,42,285,0,0,0,0,1.2
3,-35.10,37,295,0,0,0,0,1.7
4,-66.70,394,1409,0,0,0,0,8.4
5,-242.10,832,1406,0,0,0,0,18.6
6,-33.90,38,313,0,0,0,0,19.2
7,-17.10,94,703,0,0,0,0,19.9
8,-22.00,99,676,0,0,0,0,20.7
9,-257.40,743,899,0,0,0,0,27.6
10,-22.00,103,692,0,0,0,0,28.6
11,-32.50,35,313,0,0,0,0,28.9
12,-205.50,671,1126,0,0,0,0,34.9
13,-34.20,38,308,0,0,0,0,35.3
14,-30.90,31,315,0,0,0,0,35.6
15,-34.60,40,312,0,0,0,0,35.9
16,-37.20,43,298,0,0,0,0,36.2
17,-38.40,186,860,0,0,0,0,37.9
18,-10.80,209,1226,0,0,0,0,39.9
19,-34.80,38,304,0,0,0,0,40.3
20,-59.40,306,1128,0,0,0,0,43.3
21,-31.80,32,310,0,0,0,0,43.5
22,-32.20,136,723,0,0,0,0,44.9
23,-19.90,99,695,0,0,0,0,45.6
24,-15.60,95,724,0,0,0,0,46.5
25,6.50,141,1127,0,0,0,0,47.8
26,-27.50,116,687,0,0,0,0,48.8
27,-1.20,237,1436,0,0,0,0,51.0
28,-33.30,37,315,0,0,0,0,51.3
29,-55.70,296,1127,0,0,0,0,53.9
30,-34.30,38,307,0,0,0,0,54.4
31,-8.10,69,695,0,0,0,0,54.9
32,5.70,241,1521,0,0,0,0,57.1
33,-8.20,254,1431,0,0,0,0,59.3
34,-14.50,88,707,0,0,0,0,60.2
35,-22.60,101,676,0,0,0,0,61.2
36,-11.70,80,701,0,0,0,0,61.8
37,-5.70,198,1233,0,0,0,0,63.6
38,-37.40,176,828,0,0,0,0,65.2
39,-20.50,100,695,0,0,0,0,66.0
40,-33.70,35,303,0,0,0,0,66.3
41,-36.20,39,294,0,0,0,0,66.8
42,-55.20,295,1128,0,0,0,0,69.5
43,-13.40,190,1125,0,0,0,0,71.1
44,-32.80,35,310,0,0,0,0,71.5
45,-44.70,269,1126,0,0,0,0,74.0
46,-13.90,87,709,0,0,0,0,74.7
47,-32.50,33,305,0,0,0,0,75.0
48,-40.00,191,862,0,0,0,0,76.6
49,-10.00,74,694,0,0,0,0,77.4
50,-9.10,70,689,0,0,0,0,78.0
51,-30.90,31,313,0,0,0,0,78.5
52,10.80,206,1430,0,0,0,0,80.3
53,-33.50,35,305,0,0,0,0,80.6
54,-21.80,103,692,0,0,0,0,81.5
55,-10.30,71,679,0,0,0,0,82.2
56,-8.10,65,679,0,0,0,0,82.7
57,42.80,184,1662,0,0,0,0,84.6
58,-45.80,193,812,0,0,0,0,86.3
59,-16.30,93,709,0,0,0,0,87.1
60,-21.00,210,1127,0,0,0,0,89.1
61,15.80,195,1436,0,0,0,0,90.8
62,-31.60,33,316,0,0,0,0,91.0
63,0.20,157,1128,0,0,0,0,92.7
64,-16.10,86,683,0,0,0,0,93.3
65,-30.00,28,310,0,0,0,0,93.5
66,-39.30,46,291,0,0,0,0,94.1
67,-36.30,39,293,0,0,0,0,94.4
68,-30.50,30,313,0,0,0,0,94.6
69,-15.10,84,685,0,0,0,0,95.4
70,-55.60,239,899,0,0,0,0,97.6
71,-39.20,154,722,0,0,0,0,99.0
72,-15.60,91,708,0,0,0,0,99.8
73,-18.30,96,701,0,0,0,0,100.7
74,-25.20,163,898,0,0,0,0,102.2
75,-35.90,182,869,0,0,0,0,103.7
76,-19.00,147,898,0,0,0,0,105.0
77,-14.20,135,898,0,0,0,0,106.2
78,42.00,189,1676,0,0,0,0,108.0
79,-11.40,81,710,0,0,0,0,108.8
80,-14.80,89,706,0,0,0,0,109.5
81,-31.30,31,311,0,0,0,0,109.9
82,-31.30,30,307,0,0,0,0,110.1
83,-9.10,70,689,0,0,0,0,110.6
84,6.20,218,1434,0,0,0,0,112.7
85,-32.70,33,305,0,0,0,0,112.9
86,-30.80,311,1434,0,0,0,0,115.8
87,-44.90,270,1131,0,0,0,0,118.3
88,5.00,280,1670,0,0,0,0,120.7
89,17.40,116,1136,0,0,0,0,121.8
90,-18.60,131,838,0,0,0,0,123.0
91,-20.10,342,1667,0,0,0,0,126.2
92,-40.00,156,723,0,0,0,0,127.5
93,-6.00,59,676,0,0,0,0,127.9
94,-6.80,64,688,0,0,0,0,128.6
95,-30.10,28,311,0,0,0,0,128.8
96,-4.90,171,1133,0,0,0,0,130.6
97,-30.20,28,310,0,0,0,0,130.9
98,-30.30,29,311,0,0,0,0,131.1
99,-31.00,31,312,0,0,0,0,131.3
100,-18.40,142,884,0,0,0,0,132.7
101,-70.20,275,900,0,0,0,0,135.1
102,-29.80,28,314,0,0,0,0,135.3
103,-50.20,225,899,0,0,0,0,137.4
104,-30.90,30,309,0,0,0,0,137.6
105,-762.10,2005,898,0,0,0,0,155.4
106,-29.10,27,315,0,0,0,0,155.6
107,-29.10,27,315,0,0,0,0,156.0
108,-29.10,27,315,0,0,0,0,156.1
109,-29.10,27,315,0,0,0,0,156.3
110,-29.10,27,315,0,0,0,0,156.5
111,-29.10,27,315,0,0,0,0,156.7
112,-29.10,27,315,0,0,0,0,157.1
113,-29.10,27,315,0,0,0,0,157.3
114,-29.10,27,315,0,0,0,0,157.5
115,-29.10,27,315,0,0,0,0,157.6
116,-29.10,27,315,0,0,0,0,157.9
117,-29.10,27,315,0,0,0,0,158.3
118,-80.70,286,837,0,0,0,0,161.0
119,-29.10,27,315,0,0,0,0,161.2
120,-57.00,235,868,0,0,0,0,163.4
121,-29.10,27,315,0,0,0,0,163.6
122,-18.10,91,681,0,0,0,0,164.5
123,-24.40,138,808,0,0,0,0,165.7
124,-73.20,283,898,0,0,0,0,168.2
125,-11.60,81,706,0,0,0,0,169.0
126,-30.10,28,311,0,0,0,0,169.2
127,-29.60,27,312,0,0,0,0,169.4
128,-29.10,27,315,0,0,0,0,169.6
129,-16.50,199,1128,0,0,0,0,171.4
130,-31.00,30,308,0,0,0,0,171.6
131,-32.50,32,301,0,0,0,0,171.8
132,-762.10,2005,898,0,0,0,0,190.1
133,-29.10,27,315,0,0,0,0,190.3
134,-29.80,28,314,0,0,0,0,190.6
135,-29.10,27,315,0,0,0,0,190.8
136,-29.10,27,315,0,0,0,0,191.0
137,-29.10,27,315,0,0,0,0,191.2
138,-29.10,27,315,0,0,0,0,191.4
139,-29.10,27,315,0,0,0,0,191.9
140,-350.00,931,723,0,0,0,0,200.2
141,-21.90,96,665,0,0,0,0,201.1
142,-17.60,93,694,0,0,0,0,201.8
143,-29.10,27,315,0,0,0,0,202.1
144,-779.70,2005,722,0,0,0,0,220.1
145,-29.10,27,315,0,0,0,0,220.3
146,-561.40,1453,698,0,0,0,0,233.3
147,-29.10,27,315,0,0,0,0,233.5
148,-29.10,27,315,0,0,0,0,233.7
149,-29.10,27,315,0,0,0,0,233.9
150,-29.10,27,315,0,0,0,0,234.2
151,-29.10,27,315,0,0,0,0,234.4
152,-75.40,240,704,0,0,0,0,236.6
153,-29.10,27,315,0,0,0,0,236.8
154,-779.70,2005,724,0,0,0,0,257.0
155,-29.10,27,315,0,0,0,0,257.2
156,-32.60,134,710,0,0,0,0,258.3
157,-29.10,27,315,0,0,0,0,258.5
158,-225.20,663,898,0,0,0,0,264.5
159,-29.10,27,315,0,0,0,0,264.7
160,-18.00,145,898,0,0,0,0,266.2
161,35.00,230,1768,0,0,0,0,268.0
162,-31.40,31,308,0,0,0,0,268.5
163,-76.40,348,1128,0,0,0,0,271.5
164,-42.60,206,898,0,0,0,0,273.4
165,-31.60,135,723,0,0,0,0,274.6
166,-70.20,258,828,0,0,0,0,277.0
167,-10.10,70,679,0,0,0,0,277.8
168,-29.10,27,315,0,0,0,0,278.0
169,-8.20,71,700,0,0,0,0,278.5
170,-29.30,27,313,0,0,0,0,278.9
171,-54.20,458,1790,0,0,0,0,283.1
172,-7.40,68,698,0,0,0,0,283.8
173,-18.20,92,686,0,0,0,0,284.5
174,35.10,145,1430,0,0,0,0,286.0
175,3.80,148,1128,0,0,0,0,287.2
176,-29.10,27,315,0,0,0,0,287.4
177,40.50,156,1529,0,0,0,0,288.8
178,-31.00,31,314,0,0,0,0,289.0
179,-30.00,29,314,0,0,0,0,289.5
180,-18.30,91,679,0,0,0,0,290.1
181,10.60,131,1129,0,0,0,0,291.2
182,6.50,215,1423,0,0,0,0,293.3
183,-6.10,60,677,0,0,0,0,293.7
184,-5.20,69,723,0,0,0,0,294.4
185,-11.40,215,1246,0,0,0,0,296.3
186,2.30,228,1432,0,0,0,0,298.2
187,-33.70,35,303,0,0,0,0,298.7
188,-11.30,81,711,0,0,0,0,299.3
189,-8.70,69,687,0,0,0,0,300.1
190,-29.40,165,864,0,0,0,0,301.5
191,-29.30,27,313,0,0,0,0,301.7
192,-30.70,29,309,0,0,0,0,302.1
193,-22.90,105,689,0,0,0,0,302.8
194,-29.50,27,313,0,0,0,0,303.2
195,4.90,310,1787,0,0,0,0,306.1
196,-19.80,149,898,0,0,0,0,307.5
197,-13.40,133,898,0,0,0,0,308.6
198,-44.80,368,1524,0,0,0,0,311.9
199,-29.60,27,312,0,0,0,0,312.1
200,-19.40,148,898,0,0,0,0,313.7
201,-15.20,113,798,0,0,0,0,314.5
202,32.70,152,1432,0,0,0,0,316.0
203,-8.00,71,702,0,0,0,0,316.5
204,7.00,140,1129,0,0,0,0,317.8
205,-33.80,34,298,0,0,0,0,318.2
206,-30.60,29,310,0,0,0,0,318.5
207,43.00,184,1664,0,0,0,0,320.1
208,-36.30,246,1122,0,0,0,0,322.4
209,-16.80,271,1416,0,0,0,0,324.8
210,-21.60,99,678,0,0,0,0,325.8
211,31.90,213,1669,0,0,0,0,327.7
212,-5.40,58,676,0,0,0,0,328.2
213,-35.30,38,297,0,0,0,0,328.5
214,-10.00,77,708,0,0,0,0,329.3
215,-32.90,32,297,0,0,0,0,329.5
216,-13.00,132,898,0,0,0,0,330.7
217,-8.00,72,708,0,0,0,0,331.4
218,-13.90,86,703,0,0,0,0,332.1
219,19.90,207,1525,0,0,0,0,333.9
220,-34.80,143,723,0,0,0,0,335.2
221,-10.40,74,692,0,0,0,0,335.9
222,-11.00,76,692,0,0,0,0,336.5
223,-10.90,78,701,0,0,0,0,337.2
224,-30.00,28,312,0,0,0,0,337.4
225,15.80,193,1428,0,0,0,0,339.3
226,-33.50,34,301,0,0,0,0,339.5
227,4.50,146,1127,0,0,0,0,340.7
228,-20.80,97,678,0,0,0,0,341.6
229,12.50,201,1429,0,0,0,0,343.5
230,-29.40,27,312,0,0,0,0,343.7
231,-29.90,27,309,0,0,0,0,343.9
232,-15.10,86,693,0,0,0,0,344.8
233,-30.30,28,309,0,0,0,0,345.0
234,-7.80,64,678,0,0,0,0,345.5
235,-17.50,94,699,0,0,0,0,346.3
236,-33.60,34,300,0,0,0,0,346.6
237,-35.80,38,294,0,0,0,0,347.1
238,-34.20,35,296,0,0,0,0,347.4
239,-12.80,79,686,0,0,0,0,348.2
240,-14.60,84,690,0,0,0,0,348.8
241,-9.40,105,824,0,0,0,0,349.7
242,-29.60,27,312,0,0,0,0,349.9
243,-0.80,231,1414,0,0,0,0,352.1
244,-17.30,89,681,0,0,0,0,352.9
245,-19.10,90,667,0,0,0,0,353.5
246,5.60,240,1514,0,0,0,0,355.7
247,-47.50,165,683,0,0,0,0,357.3
248,-82.00,385,1218,0,0,0,0,360.8
249,-10.40,71,680,0,0,0,0,361.3
250,-18.20,89,674,0,0,0,0,362.2
251,23.20,164,1385,0,0,0,0,363.6
252,-11.90,78,691,0,0,0,0,364.4
253,-26.90,110,669,0,0,0,0,365.4
254,-693.00,1956,1394,0,0,0,0,382.8
255,-762.10,2005,898,0,0,0,0,400.8
256,-29.10,27,315,0,0,0,0,401.0
257,-29.10,27,315,0,0,0,0,401.2
258,-29.10,27,315,0,0,0,0,401.4
259,-29.10,27,315,0,0,0,0,401.6
260,-29.10,27,315,0,0,0,0,402.0
261,-29.10,27,315,0,0,0,0,402.2
262,-29.10,27,315,0,0,0,0,402.4
263,-29.10,27,315,0,0,0,0,402.6
264,-29.10,27,315,0,0,0,0,402.8
265,-779.70,2005,723,0,0,0,0,421.0
266,-779.70,2005,722,0,0,0,0,439.9
267,-58.20,185,656,0,0,0,0,441.5
268,-29.50,27,311,0,0,0,0,441.7
269,-762.10,2005,898,0,0,0,0,459.9
270,-30.10,28,309,0,0,0,0,460.1
271,-810.60,2020,723,0,0,0,0,478.1
272,-779.70,2005,722,0,0,0,0,497.7
273,-31.70,33,313,0,0,0,0,498.0
274,-220.10,586,643,0,0,0,0,504.4
275,-77.20,232,654,0,0,0,0,506.7
276,-30.10,29,313,0,0,0,0,507.2
277,-32.90,120,651,0,0,0,0,508.6
278,-779.70,2005,722,0,0,0,0,528.3
279,-779.70,2005,723,0,0,0,0,549.0
280,-779.70,2005,723,0,0,0,0,568.3
281,-6.60,72,722,0,0,0,0,568.8
282,-762.10,2005,900,0,0,0,0,588.2
283,-779.70,2005,723,0,0,0,0,606.3
284,-35.60,145,722,0,0,0,0,607.7
285,-29.70,27,309,0,0,0,0,607.9
286,-27.10,108,659,0,0,0,0,608.9
287,-29.10,27,315,0,0,0,0,609.1
